time,deploy_id,service,component,event_id,level,ip,log_txt
2018-10-23 09:44:02.747,59442,cf-pdman,cf-pdman,1,INFO,192.169.7.98,"2018-10-23 09:44:02.747 INFO  cloudframe.pdman.cmd.worker Configuration: 
"
2018-10-23 09:44:02.750,59442,cf-pdman,cf-pdman,2,WARNING,192.169.7.98,"2018-10-23 09:44:02.750 WARNING  oslo_config.cfg Option ""rabbit_hosts"" from group ""oslo_messaging_rabbit"" is deprecated for removal.  Its value may be silently ignored in the future. 
"
2018-10-23 09:44:02.750,59442,cf-pdman,cf-pdman,3,WARNING,192.169.7.98,"2018-10-23 09:44:02.750 WARNING  oslo_config.cfg Option ""rabbit_max_retries"" from group ""oslo_messaging_rabbit"" is deprecated for removal.  Its value may be silently ignored in the future. 
"
2018-10-23 09:44:02.751,59442,cf-pdman,cf-pdman,2,WARNING,192.169.7.98,"2018-10-23 09:44:02.751 WARNING  oslo_config.cfg Option ""rabbit_password"" from group ""oslo_messaging_rabbit"" is deprecated for removal.  Its value may be silently ignored in the future. 
"
2018-10-23 09:44:02.751,59442,cf-pdman,cf-pdman,2,WARNING,192.169.7.98,"2018-10-23 09:44:02.751 WARNING  oslo_config.cfg Option ""rabbit_userid"" from group ""oslo_messaging_rabbit"" is deprecated for removal.  Its value may be silently ignored in the future. 
"
2018-10-23 09:44:02.949,59442,cf-pdman,cf-pdman,4,INFO,192.169.7.98,"2018-10-23 09:44:02.949 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) _configure_property(node_list, RelationshipProperty) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.949,59442,cf-pdman,cf-pdman,5,INFO,192.169.7.98,"2018-10-23 09:44:02.949 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) _configure_property(created_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.950,59442,cf-pdman,cf-pdman,6,INFO,192.169.7.98,"2018-10-23 09:44:02.950 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) _configure_property(updated_at, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.951,59442,cf-pdman,cf-pdman,7,INFO,192.169.7.98,"2018-10-23 09:44:02.951 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) _configure_property(id, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.951,59442,cf-pdman,cf-pdman,7,INFO,192.169.7.98,"2018-10-23 09:44:02.951 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) _configure_property(uuid, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.952,59442,cf-pdman,cf-pdman,8,INFO,192.169.7.98,"2018-10-23 09:44:02.952 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) _configure_property(name, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
2018-10-23 09:44:02.952,59442,cf-pdman,cf-pdman,9,INFO,192.169.7.98,"2018-10-23 09:44:02.952 INFO  sqlalchemy.orm.mapper.Mapper (Server|servers) _configure_property(nodes_num, Column) req-15f72d4a-b9cf-4692-8454-fe34389e3a6e 
"
